Profile Pic,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Delta,Fake
1,2,0,44,1,0,0,0,69,640,617,23,0
1,1,0,63,1,0,0,1,2276,193564,989,192575,0
1,4,0,64,0,1,0,0,84,412,668,-256,0
1,2,0,128,0,0,0,1,153,2133,1686,447,0
1,1,0,17,0,0,0,0,57,680,627,53,0
1,3,0,148,0,1,0,0,2755,1826028,557,1825471,0
1,1,0,39,0,1,0,0,178,1785,945,840,0
1,2,0,2,0,1,0,0,25,1936,1475,461,0
1,2,0,0,0,0,1,0,1982,61400037,329,61399708,0
1,2,0,91,1,0,1,1,28121,12349995,574,12349421,0
1,1,0,124,1,0,1,1,29969,16175149,278,16174871,0
1,2,0,129,1,0,1,1,766,6811341,82,6811259,0
1,2,0,99,1,0,0,0,35,92322,34,92288,0
1,2,0,3,0,1,0,0,151,726,485,241,0
1,2,0,99,1,0,0,1,8,90107,27,90080,0
1,2,0,0,0,1,0,0,77,523,362,161,0
1,2,0,0,0,1,0,0,4,336,297,39,0
1,2,0,43,0,1,0,0,121,740,514,226,0
1,1,0,39,0,1,0,0,196,681,687,-6,0
1,1,0,105,1,0,0,1,170,1331,879,452,0
1,2,0,111,1,0,0,1,37,785,702,83,0
1,1,0,37,1,0,1,1,2758,16285128,1306,16283822,0
1,5,0,84,0,0,1,0,2771,4250891,365,4250526,0
1,2,0,17,0,1,0,0,195,892,974,-82,0
1,1,0,0,0,1,0,0,74,290,293,-3,0
1,1,0,0,0,1,0,0,48,1686,1083,603,0
1,2,0,111,0,0,0,0,637,139727,535,139192,0
1,2,0,0,0,0,0,0,20,651,941,-290,0
1,2,0,27,0,1,0,0,58,1181,469,712,0
1,2,0,40,0,0,0,1,118,3516,1020,2496,0
1,2,0,0,1,0,1,0,870,6936911,1126,6935785,0
1,1,0,22,1,0,1,1,1877,103488,156,103332,0
1,2,0,0,0,1,0,0,41,306,402,-96,0
1,1,0,52,0,1,0,0,226,1739,718,1021,0
1,2,0,6,0,1,0,0,1,203,231,-28,0
1,1,0.0909,27,0,1,0,0,14,90,72,18,0
0,2,0,35,0,0,0,1,27,1316,909,407,0
1,4,0,105,1,0,1,0,801,599879,455,599424,0
1,2,0,24,0,0,1,0,1298,36670304,840,36669464,0
1,2,0,116,0,0,0,0,103,320,265,55,0
1,2,0,26,0,1,0,0,5,202,355,-153,0
1,1,0,71,0,1,0,0,105,4475,2068,2407,0
1,1,0,67,0,0,0,1,76,9239,2160,7079,0
1,2,0,31,1,0,1,0,260,1808431,29,1808402,0
1,2,0,0,0,1,0,0,143,1334,770,564,0
1,3,0,32,0,1,0,0,78,1586,799,787,0
1,2,0,35,0,0,0,1,333,3467,636,2831,0
1,2,0,12,0,0,0,1,304,6643,1295,5348,0
1,2,0,0,0,1,0,0,60,474,409,65,0
1,1,0,0,0,0,0,0,138,176,272,-96,0
1,1,0,0,0,0,0,1,70,1754,397,1357,0
1,1,0,47,0,1,0,0,150,721,503,218,0
1,2,0,41,1,0,0,0,2,1102,1222,-120,0
1,1,0,114,1,0,0,1,88,60754,119,60635,0
1,2,0,123,0,0,0,1,47,189,68,121,0
1,2,0,0,0,1,0,0,302,989,918,71,0
1,2,0,15,0,0,0,0,10,1137,201,936,0
1,2,0,31,0,0,0,1,155,846,801,45,0
1,2,0,0,0,1,0,0,3,171,230,-59,0
1,1,0,4,0,1,0,0,498,1067,833,234,0
1,1,0,67,0,0,0,1,4,405,603,-198,0
1,1,0,33,1,0,0,1,510,66016,42,65974,0
1,2,0,12,0,1,0,0,245,790,480,310,0
1,2,0,100,0,1,0,0,143,563,570,-7,0
1,2,0,70,0,0,0,1,147,1522,1586,-64,0
1,2,0,29,0,1,0,0,33,555,451,104,0
1,4,0,14,1,0,0,1,15,511,248,263,0
1,2,0,5,0,1,0,0,12,3266,606,2660,0
1,2,0,0,0,1,0,0,14,2521,876,1645,0
1,2,0,36,0,1,0,0,78,998,439,559,0
1,3,0,142,0,0,0,0,79,1057,348,709,0
1,2,0,138,1,0,0,0,198,1263,846,417,0
1,2,0,13,0,0,0,1,69,1034,992,42,0
1,3,0,71,1,0,1,1,37847,5327634,1763,5325871,0
1,2,0,126,0,0,1,0,58,4903445,205,4903240,0
1,0,0,0,0,0,0,0,20,1237,552,685,0
1,2,0,139,1,0,1,0,55,101898,125,101773,0
1,2,0,0,1,0,1,0,1062,1492958,501,1492457,0
1,1,0,0,0,1,0,0,74,1103,654,449,0
1,2,0,34,1,0,1,0,156,3364516,75,3364441,0
1,2,0,15,1,0,1,0,927,16325642,144,16325498,0
1,2,0,0,0,0,0,0,14,1350,388,962,0
1,2,0,11,0,1,0,0,174,1026,858,168,0
1,2,0,0,0,0,0,1,19,878,534,344,0
1,2,0,0,0,1,0,0,84,3636,394,3242,0
1,2,0,34,0,0,0,0,17,533,613,-80,0
1,2,0,0,0,0,0,0,42,1102,387,715,0
1,2,0,5,0,1,0,0,95,1388,1357,31,0
1,2,0,49,1,0,1,1,1326,25620133,67,25620066,0
1,3,0,0,0,0,0,0,56,626,413,213,0
