Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,%Post Single Day,Index of Activity,Average of Likes,Fake,Profile Pic Url,Username
1,0,1,81,0,0,1,242,153,241,1,4.0,20.0,12.36,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/82200268_119791332691891_2380392092305195008_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=ugkcBavcPHkAX88ORAA&oh=4ad6be7932243e9635b3d3ddca4f531b&oe=5EACF801,nailsbydenna_
1,0,2,92,1,0,0,687,13757,1701,1,1.0,7.583,537.53,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/61782303_2703119316572241_1704745448327086080_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=AwcjznWGhvEAX9xqCL6&oh=2df94ee0be95e66870385fa24150c479&oe=5EAEF690,normanrinaldi
1,0,2,127,1,0,1,135,141558,571,1,2.0,16.667,13258.06,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/91151968_278794866863035_2681505025292763136_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=tZwVaFgVc-MAX8oWE5x&oh=a93a2a816fc9c375db580702411b4b2b&oe=5EAF05E5,ponyhawk__
1,0,3,104,1,0,0,39,15178,24,1,10.256,19.5,2854.744,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/85050157_205238027530929_7375250401114718208_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=idawZPZ9AoEAX_om3ML&oh=591f4df0ad560ca704b03b46c05090e7&oe=5EAC5A6F,lundyandherman
1,0,3,97,0,0,1,1415,89823,396,1,6.0,50.0,1313.64,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/58626063_2341617479233660_1953738609580310528_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=993MqrMqGygAX-VVgi4&oh=2f3b1493604b122643e0cf12e50e30a4&oe=5EAD67B7,_arteecultura_
1,0,3,43,0,1,0,1213,1682198,707,1,4.0,20.0,38981.48,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/88181031_202804691034598_4225742335972999168_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=WsRGJX_7IkoAX-PA6hO&oh=640fca1795d5c4154e5ad7f60dc306f9&oe=5EACA615,salmaabudeif
1,0,2,34,0,0,0,728,16498,1165,1,2.0,3.583,1403.33,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/88989960_2474488559546853_7738553017439354880_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=BUOROSwYl7cAX9PPJOW&oh=4974bfd865c48d901975b25ec40da5ba&oe=5EAD7F72,rachelefogar
1,0,2,142,1,1,1,1636,15408,1162,1,2.0,20.0,303.08,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/23101072_1157209497745725_3669221592111513600_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=tgqb0xJOyNMAX9P-OZx&oh=10ddc395f90c185788c5d1d5efd41046&oe=5EAF742C,daniel_canzian
1,0,4,94,1,0,1,535,654,347,1,2.0,1.5,90.95,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/71077992_380834982584659_8500516392259289088_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=L3Tzr_gCY-8AX-NYywI&oh=7cba2876cfe4f921bc2de00fbca68860&oe=5EAC8FDD,ribonius
1,0,2,91,1,0,1,240,846,642,1,2.0,1.667,77.81,0,https://scontent-mia3-2.cdninstagram.com/v/t51.2885-19/s320x320/50250887_396249960931597_8776922628955832320_n.jpg?_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_ohc=jLBSXAPFO6EAX9X7MBm&oh=a4f21fea7355a7c67db75eef57804928&oe=5EACF9D6,aribarazzoni
