Profile Pic,Nums/Length Username,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,Fake
1,0,2,0,145,1,0,1,0,781,14688383,0,1,0
1,0,2,0,59,0,0,0,0,391,1377,863,1,0
1,0,4,0,0,0,0,1,0,444,45832209,45,1,0
1,0,4,0,93,1,0,1,0,559,970559,2060,1,0
1,0,1,0,71,1,0,1,1,4824,799679,239,1,0
1,0.182,4,0,70,1,0,1,0,900,54356,147,1,0
1,0,2,0,3,1,0,1,1,1434,4613724,549,1,0
1,0.05,4,0,0,0,0,1,0,169,244660,261,1,0
1,0,3,0,12,1,0,1,1,2857,1754485,67,1,0
1,0,1,0,39,0,0,1,1,820,109764,161,1,0
1,0.286,2,0,97,0,0,1,1,1621,378474,375,1,0
1,0,3,0,94,1,0,1,1,6886,683681,410,1,0
1,0,2,0,12,0,0,1,1,390,3848779,384,1,0
1,0,5,0,75,1,0,1,1,4115,1281759,349,1,0
1,0,4,0,23,0,0,0,0,10,37,35,1,0
1,0.182,2,0,63,0,0,0,0,9,787,949,0,0
1,0,2,0,31,0,1,0,0,13,837,872,Null,0
1,0.286,2,0,30,0,0,0,0,2,1509,683,1,0
1,0,1,0,17,0,0,0,0,26,1941,771,1,0
1,0,5,0,133,1,0,0,0,149,4985,1032,1,0
1,0,3,0,27,1,0,0,1,136,674,747,1,0
1,0,1,0,5,0,0,0,1,9,8856,1066,1,0
1,0,0,0,5,0,0,0,0,0,469,354,Null,0
1,0,0,0,10,0,0,0,0,1,314,269,1,0
1,0,0,0,23,0,0,0,0,1,1140,1236,0,0
1,0,2,0,137,1,0,1,0,2738,934619,2153,1,0
1,0,1,0,113,1,0,1,0,517,1224041,794,1,0
0,0,0,0,0,0,0,1,1,0,50044,256,Null,0
1,0.2,2,0,146,0,0,1,0,103,435618,783,1,0
1,0,1,0.6667,79,0,0,1,0,1935,1105568,543,1,0
1,0,3,0,148,1,0,1,1,15189,16232745,728,1,0
1,0,2,0,110,1,0,1,1,2844,1091449,762,1,0
1,0,2,0,110,0,0,1,0,1312,1448840,703,1,0
1,0,1,0,31,1,1,0,0,89,1034,876,Null,0
1,0,1,0,0,0,1,0,0,163,3267,636,Null,0
1,0,2,0,13,0,1,0,0,40,951,454,Null,0
1,0,1,0,0,0,1,0,0,52,775,401,Null,0
1,0,2,0,12,1,0,1,0,390,2903831,391,1,0
1,0,2,0,26,1,0,1,0,243,5427847,100,1,0
1,0,2,0,103,1,0,1,0,5404,6287397,484,1,0
1,0,2,0,0,0,0,1,0,1116,600358,16,1,0
1,0,3,0,0,0,0,0,0,47,7685,2217,1,0
1,0,3,0,49,0,0,0,0,37,706,308,1,0
1,0,2,0,29,0,1,0,0,3,545,434,Null,0
1,0,2,0,81,1,0,1,0,479,860378,234,1,0
1,0.5,2,0.1,76,1,0,1,1,8762,9034441,53,1,0
1,0,1,0,0,1,0,1,0,4948,64089784,2174,1,0
1,0,2,0,44,1,0,0,0,69,640,617,1,0
1,0,1,0,63,1,0,0,1,2276,193564,989,1,0
1,0,4,0,64,0,1,0,0,84,412,668,Null,0
1,0,2,0,128,0,0,0,1,153,2133,1686,1,0
1,0,1,0,17,0,0,0,0,57,680,627,1,0
1,0,3,0,148,0,1,0,0,2755,1826028,557,Null,0
1,0,1,0,39,0,1,0,0,178,1785,945,Null,0
1,0,2,0,2,0,1,0,0,25,1936,1475,Null,0
1,0,2,0,0,0,0,1,0,1982,61400037,329,1,0
1,0,2,0,91,1,0,1,1,28121,12349995,574,1,0
1,0,1,0,124,1,0,1,1,29969,16175149,278,1,0
1,0,2,0,129,1,0,1,1,766,6811341,82,1,0
1,0,2,0,99,1,0,0,0,35,92322,34,1,0
1,0,2,0,3,0,1,0,0,151,726,485,Null,0
1,0,2,0,99,1,0,0,1,8,90107,27,1,0
1,0,2,0,0,0,1,0,0,77,523,362,Null,0
1,0,2,0,0,0,1,0,0,4,336,297,Null,0
1,0,2,0,43,0,1,0,0,121,740,514,Null,0
1,0,1,0,39,0,1,0,0,196,681,687,Null,0
1,0,1,0,105,1,0,0,1,170,1331,879,1,0
1,0,2,0,111,1,0,0,1,37,785,702,1,0
1,0,1,0,37,1,0,1,1,2758,16285128,1306,1,0
1,0,5,0,84,0,0,1,0,2771,4250891,365,1,0
1,0,2,0,17,0,1,0,0,195,892,974,Null,0
1,0,1,0,0,0,1,0,0,74,290,293,Null,0
1,0,1,0,0,0,1,0,0,48,1686,1083,Null,0
1,0,2,0,111,0,0,0,0,637,139727,535,1,0
1,0,2,0,0,0,0,0,0,20,651,941,1,0
1,0,2,0,27,0,1,0,0,58,1181,469,Null,0
1,0.077,2,0,40,0,0,0,1,118,3516,1020,1,0
1,0,2,0,0,1,0,1,0,870,6936911,1126,1,0
1,0,1,0,22,1,0,1,1,1877,103488,156,1,0
1,0,2,0,0,0,1,0,0,41,306,402,Null,0
1,0,1,0,52,0,1,0,0,226,1739,718,Null,0
1,0,2,0,6,0,1,0,0,1,203,231,Null,0
1,0.091,1,0.0909,27,0,1,0,0,14,90,72,Null,0
0,0,2,0,35,0,0,0,1,27,1316,909,1,0
1,0,4,0,105,1,0,1,0,801,599879,455,1,0
